TF	binding_mass	weighted_mass	n_targets	log2_weight_change	top_cluster	top_organ	atlas_informed	symbol
AT2G38090	20.0	17.9322	40	-0.1495		(not in atlas set)	False	
AT2G38300	227.5	207.5013	455	-0.1321		(not in atlas set)	False	
AT2G38340	1767.1644	1603.112	3425	-0.1405		(not in atlas set)	False	DREB19
AT2G38470	1488.0	1324.0104	2976	-0.1683	rosette_21d_6	rosette_21d	True	ATWRKY33
AT2G38880	83.5	76.5324	167	-0.1242		(not in atlas set)	False	ATHAP3
AT2G39900	46.5	41.9193	93	-0.1463	seedling_15d_15	seedling_15d	True	WLIM2a
AT2G40260	1608.9244	1447.7565	3168	-0.1522		(not in atlas set)	False	
AT2G40740	1558.5	1409.2363	3117	-0.1451		(not in atlas set)	False	ATWRKY55
AT2G41690	319.6623	290.7739	638	-0.1362		(not in atlas set)	False	AT-HSFB3
AT2G41835	86.0	78.0217	172	-0.1388		(not in atlas set)	False	
AT2G42200	1730.9196	1559.0741	3289	-0.1508		(not in atlas set)	False	AtSPL9
AT2G42430	1411.5184	1288.7221	2833	-0.1312		(not in atlas set)	False	ASL18
AT2G42590	417.1712	380.2668	838	-0.1333		(not in atlas set)	False	GF14 MU
AT2G43000	1655.5	1482.3155	3311	-0.1593		(not in atlas set)	False	ANAC042
AT2G44840	1642.9341	1501.5963	3243	-0.1297		(not in atlas set)	False	ATERF13
AT2G44940	1403.8981	1274.9944	2815	-0.1388		(not in atlas set)	False	
AT2G45410	1844.7217	1684.3373	3635	-0.1311		(not in atlas set)	False	LBD19
AT2G45420	1872.1851	1704.6735	3657	-0.1352	silique_15	silique	True	LBD18
AT2G45650	214.5	195.7152	429	-0.1316		(not in atlas set)	False	AGL6
AT2G45680	192.1702	174.8103	384	-0.1359		(not in atlas set)	False	TCP9
AT2G46130	516.3703	469.5441	1076	-0.1369	silique_13	silique	True	ATWRKY43
AT2G46400	41.2205	34.9435	80	-0.2322		(not in atlas set)	False	ATWRKY46
AT2G46590	1961.5274	1788.5186	3828	-0.1331		(not in atlas set)	False	DAG2
AT2G46680	1302.5	1183.3524	2605	-0.1383		(not in atlas set)	False	ATHB-7
AT2G46770	1617.5208	1391.4939	3117	-0.217		(not in atlas set)	False	ANAC043
AT2G47070	1392.8109	1239.4154	2765	-0.1682		(not in atlas set)	False	SPL1
AT2G48100	14.5	13.9143	29	-0.0556		(not in atlas set)	False	
AT3G01220	1413.2569	1257.1352	2829	-0.1688		(not in atlas set)	False	ATHB20
AT3G01470	384.4576	343.213	781	-0.1633		(not in atlas set)	False	ATHB-1
AT3G01530	1483.7998	1328.6412	2963	-0.1592		(not in atlas set)	False	ATMYB57
AT3G01970	1632.8744	1465.4766	3242	-0.1559		(not in atlas set)	False	ATWRKY45
AT3G02150	136.5644	123.4626	283	-0.1444		(not in atlas set)	False	PTF1
AT3G02940	1740.3289	1543.5511	3494	-0.173	silique_13	silique	True	AtMYB107
AT3G02990	204.5693	182.961	427	-0.1602		(not in atlas set)	False	ATHSFA1E
AT3G03200	1624.1801	1382.2945	3212	-0.2325		(not in atlas set)	False	anac045
AT3G03660	126.5	113.9418	253	-0.1496		(not in atlas set)	False	WOX11
AT3G04030	1889.3188	1718.9231	3694	-0.1363		(not in atlas set)	False	MYR2
AT3G04060	1419.5	1204.1423	2839	-0.2372		(not in atlas set)	False	anac046
AT3G04070	303.0	261.7388	606	-0.2104		(not in atlas set)	False	anac047
AT3G06490	637.5	575.2662	1275	-0.148		(not in atlas set)	False	AtMYB108
AT3G06740	1134.5	1022.0084	2269	-0.1505		(not in atlas set)	False	GATA15
AT3G07220	24.0	19.9543	48	-0.2547		(not in atlas set)	False	AtFHA2
AT3G08500	1246.2432	1122.7885	2504	-0.1504		(not in atlas set)	False	AtMYB83
AT3G09230	51.5	47.4064	103	-0.1171		(not in atlas set)	False	AtMYB1
AT3G09600	1904.6381	1695.3113	3672	-0.1679		(not in atlas set)	False	LCL5
