kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	4	-0.6	0.343			AT5G65410	-0.0	0.114	0.106	-0.008	1.0
2way	4	-0.6	0.343			AT5G65510	-0.0	0.061	0.053	-0.008	1.0
2way	4	-0.6	0.343			AT5G67000	-0.0	0.009	0.011	0.002	1.0
2way	4	-0.6	0.343			AT5G67580	-0.0	0.105	0.106	0.001	1.0
2way	4	-0.6	0.343			AT1G25580	-0.0	0.026	0.032	0.006	1.0
2way	5	0.153	0.809			AT5G05550	-1.678	0.052	0.304	0.252	1.18e-08
2way	5	0.153	0.809			AT1G19000	-1.12	0.133	0.398	0.264	5e-07
2way	5	0.153	0.809			AT5G47390	-0.184	0.126	0.373	0.247	1.23e-06
2way	5	0.153	0.809			AT2G18160	-0.99	0.163	0.416	0.253	2.05e-06
2way	5	0.153	0.809			AT2G04038	-0.674	0.17	0.429	0.258	2.44e-06
2way	5	0.153	0.809			AT4G00250	-0.171	0.089	0.28	0.191	4.98e-05
2way	5	0.153	0.809			AT3G62420	-0.0	0.215	0.435	0.22	7.09e-05
2way	5	0.153	0.809			AT1G49010	-0.084	0.163	0.366	0.203	0.00013
2way	5	0.153	0.809			AT1G74840	-0.0	0.156	0.348	0.192	0.000182
2way	5	0.153	0.809			AT5G15830	-0.0	0.2	0.404	0.204	0.000235
2way	5	0.153	0.809			AT4G26030	2.009	0.163	0.037	-0.126	0.000253
2way	5	0.153	0.809			AT5G08520	-0.0	0.193	0.385	0.193	0.000336
2way	5	0.153	0.809			AT1G32150	-0.0	0.2	0.391	0.191	0.000378
2way	5	0.153	0.809			AT5G61620	-0.018	0.2	0.385	0.185	0.00058
2way	5	0.153	0.809			AT5G56840	-0.0	0.207	0.398	0.19	0.000622
2way	5	0.153	0.809			AT2G35530	-0.0	0.215	0.398	0.183	0.00103
2way	5	0.153	0.809			AT1G50640	-0.598	0.059	0.186	0.127	0.00143
2way	5	0.153	0.809			AT5G25190	-1.801	0.119	0.267	0.149	0.00199
2way	5	0.153	0.809			AT5G10030	-0.032	0.141	0.292	0.151	0.002
2way	5	0.153	0.809			AT1G75390	-0.195	0.022	0.112	0.09	0.00265
2way	5	0.153	0.809			AT5G44210	-0.0	0.022	0.112	0.09	0.00265
2way	5	0.153	0.809			AT1G74480	-0.582	0.044	0.149	0.105	0.00329
2way	5	0.153	0.809			AT1G53170	-0.155	0.133	0.273	0.14	0.00394
2way	5	0.153	0.809			AT5G65210	-0.0	0.133	0.273	0.14	0.00394
2way	5	0.153	0.809			AT1G45249	-0.0	0.111	0.242	0.131	0.00398
2way	5	0.153	0.809			AT3G56850	-0.0	0.207	0.36	0.153	0.00462
2way	5	0.153	0.809			AT4G34590	-0.0	0.044	0.143	0.098	0.00538
