kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	0	0.0	1.065			AT5G67190	0.0	0.067	0.059	-0.008	0.648
2way	0	0.0	1.065			AT4G31060	0.003	0.067	0.059	-0.008	0.649
2way	0	0.0	1.065			AT2G24570	0.0	0.006	0.003	-0.002	0.652
2way	0	0.0	1.065			AT3G02990	0.0	0.004	0.006	0.003	0.652
2way	0	0.0	1.065			AT3G57230	0.0	0.004	0.007	0.004	0.652
2way	0	0.0	1.065			AT4G24020	0.0	0.005	0.008	0.002	0.652
2way	0	0.0	1.065			AT2G31460	0.0	0.002	0.0	-0.002	0.654
2way	0	0.0	1.065			AT3G09230	0.0	0.001	0.001	0.0	0.654
2way	0	0.0	1.065			AT3G15270	-0.111	0.062	0.07	0.009	0.654
2way	0	0.0	1.065			AT4G01550	-0.298	0.045	0.038	-0.007	0.654
2way	0	0.0	1.065			AT4G14410	0.0	0.001	0.001	-0.0	0.654
2way	0	0.0	1.065			AT5G22890	0.0	0.0	0.001	0.0	0.654
2way	0	0.0	1.065			AT5G38860	0.0	0.001	0.001	0.0	0.654
2way	0	0.0	1.065			AT5G56930	0.0	0.002	0.001	-0.0	0.654
2way	0	0.0	1.065			AT5G62165	0.0	0.001	0.001	0.0	0.654
2way	0	0.0	1.065			AT2G47070	-0.051	0.039	0.046	0.007	0.656
2way	0	0.0	1.065			AT4G10350	-0.217	0.034	0.041	0.007	0.656
2way	0	0.0	1.065			AT3G51080	0.0	0.005	0.007	0.002	0.657
2way	0	0.0	1.065			AT4G06746	-0.086	0.06	0.067	0.006	0.657
2way	0	0.0	1.065			AT5G02460	0.0	0.058	0.066	0.009	0.657
2way	0	0.0	1.065			AT1G72010	0.0	0.024	0.031	0.007	0.66
2way	0	0.0	1.065			AT1G68550	0.0	0.067	0.076	0.008	0.661
2way	0	0.0	1.065			AT1G65910	0.0	0.035	0.042	0.007	0.663
2way	0	0.0	1.065			AT3G03200	-0.559	0.037	0.044	0.007	0.666
2way	0	0.0	1.065			AT4G00730	0.0	0.039	0.047	0.008	0.666
2way	0	0.0	1.065			AT5G04390	-1.0	0.025	0.03	0.005	0.667
2way	0	0.0	1.065			AT1G34180	-0.541	0.04	0.047	0.007	0.673
2way	0	0.0	1.065			AT1G34190	0.0	0.04	0.048	0.007	0.674
2way	0	0.0	1.065			AT5G13180	0.0	0.045	0.052	0.007	0.674
2way	0	0.0	1.065			AT3G50260	0.0	0.074	0.081	0.008	0.678
2way	0	0.0	1.065			AT4G11660	0.27	0.03	0.024	-0.006	0.681
2way	0	0.0	1.065			AT3G26620	0.135	0.034	0.028	-0.006	0.682
2way	0	0.0	1.065			AT2G38300	0.0	0.006	0.008	0.002	0.684
2way	0	0.0	1.065			AT2G23290	-0.022	0.047	0.054	0.007	0.685
2way	0	0.0	1.065			AT5G06960	0.2	0.028	0.035	0.007	0.687
