TF	name	n_missions	flight_mean_z	sign_consistency	flight_t	flight_p	radiation_mean_z	flight_vs_radiation_t	flight_vs_radiation_p	flight_q	flight_vs_radiation_q
AT3G49930		14	-0.0438	0.357	-0.201	0.8439817745675045	-0.6693	2.227	0.03650227953701785	0.9765160885127535	0.14066732114265418
AT3G10480		14	-0.1669	0.571	-0.197	0.846722194311812	1.8408	-1.666	0.11034448427740833	0.9765160885127535	0.27633787816530303
AT3G16280		14	-0.212	0.5	-0.194	0.8491412175374689	2.0406	-1.518	0.14336874357348509	0.9765160885127535	0.32515207872646856
AT1G54330		14	0.1665	0.643	0.193	0.8496641577848706	3.5821	-2.809	0.010430938901419096	0.9765160885127535	0.06592353385696868
AT5G11260		14	0.2189	0.5	0.193	0.8497588400900905	-0.4292	0.499	0.6230386904882861	0.9765160885127535	0.7938718798157194
AT3G10113		14	0.0967	0.357	0.193	0.8500477349404922	2.5282	-2.176	0.04778988032644128	0.9765160885127535	0.1648953014976394
AT3G27010		14	-0.0424	0.429	-0.189	0.852627965467726	-0.2027	0.327	0.7486243308109006	0.9765160885127535	0.8664595262266201
AT5G15830		14	-0.2733	0.5	-0.189	0.8531760260189951	-0.2302	-0.023	0.9817951928913248	0.9765160885127535	0.9909732261776532
AT2G45680		14	0.0467	0.5	0.186	0.8549666175797315	0.0868	-0.097	0.9239476556907282	0.9765160885127535	0.9604192736785201
AT1G62300		14	-0.2009	0.5	-0.183	0.8572855906856445	6.8191	-4.604	0.00014532575481394997	0.9768109855408545	0.005278852692999174
AT3G48160		14	-0.0615	0.571	-0.179	0.8609057625837633	-0.4406	0.406	0.6920050717029564	0.9785835286923352	0.8385712401337423
AT2G04038		14	-0.252	0.571	-0.174	0.8645257887216548	0.3035	-0.305	0.7632383582334441	0.9803474254881922	0.8746598391164486
AT5G62470		14	-0.0685	0.5	-0.166	0.8707618454460149	-0.4686	0.674	0.5076092277300618	0.9832569910300266	0.7142402608213965
AT3G15170		14	-0.1246	0.429	-0.163	0.8727693533629819	2.3174	-2.213	0.038135163277450645	0.9832569910300266	0.14562363453322416
AT1G69690		14	-0.0376	0.5	-0.159	0.8757527097712916	-0.5534	0.96	0.35401466519143987	0.9832569910300266	0.5556389115918626
AT1G19040		14	-0.0718	0.5	-0.158	0.8768641254708218	2.7931	-5.033	4.986161042265752e-05	0.9832569910300266	0.005278852692999174
AT2G38300		14	0.0419	0.5	0.157	0.8774635173116061	-0.5329	1.841	0.08014475248998786	0.9832569910300266	0.22891491228872296
AT2G38880		14	-0.0418	0.5	-0.154	0.8802659985447676	-0.7551	1.102	0.2905646397034906	0.9840709512033486	0.5082061837762647
AT4G38000		14	0.1042	0.571	0.147	0.8855656935575127	-0.3163	0.408	0.6871818819062518	0.9876662088147318	0.8369246015192557
AT5G67450		14	-0.0717	0.643	-0.142	0.8893600478138904	-2.6676	4.108	0.00047160027123537446	0.9883667964562859	0.009742045276550504
AT2G03340		14	-0.1271	0.5	-0.137	0.893269205633619	7.7702	-5.514	2.2713608305362856e-05	0.9883667964562859	0.005278852692999174
AT2G31460		14	-0.0258	0.571	-0.135	0.8948288506480928	-0.1645	0.511	0.6147923643270065	0.9883667964562859	0.789733281005423
AT3G23210		14	0.0887	0.5	0.134	0.8954062605410366	-0.2478	0.451	0.6569494912599485	0.9883667964562859	0.8236072760762152
AT3G10800		14	0.1506	0.5	0.132	0.8966196676713142	0.7565	-0.448	0.6585383072423746	0.9883667964562859	0.8236072760762152
AT3G56850		14	-0.1986	0.643	-0.127	0.9008749004974738	-0.5986	0.224	0.8253006449233125	0.9903845646210299	0.9060796597298688
AT5G02840		14	0.0783	0.286	0.125	0.9026289702875209	2.6357	-2.078	0.055067187027721655	0.9903845646210299	0.18122991334334027
AT1G32870		14	0.084	0.643	0.119	0.9071271857857401	3.913	-4.08	0.000497694777411927	0.992315355233261	0.009829471853885557
AT1G47655		14	0.0516	0.5	0.115	0.909841567385326	-0.2985	0.571	0.5736688352277728	0.992315355233261	0.7595503572568836
AT5G62940		14	-0.0723	0.429	-0.107	0.9164703586108852	-1.198	1.258	0.22153823944948423	0.992315355233261	0.42860867550634907
AT2G33550		14	0.0248	0.571	0.107	0.916776316839841	-1.2106	2.483	0.026300715108639097	0.992315355233261	0.11650970992051338
AT3G50410		14	-0.0575	0.5	-0.092	0.9278098211849545	-1.2173	1.374	0.1835316942043404	0.992315355233261	0.37176932928571516
AT2G21900		14	-0.0224	0.5	-0.091	0.9285513999556543	0.4154	-1.062	0.3025711292183884	0.992315355233261	0.5104849346839945
AT1G12630		14	0.0565	0.5	0.09	0.929339924033315	1.3146	-1.235	0.2322576874458751	0.992315355233261	0.44212909176443693
AT1G18330		14	0.0558	0.286	0.09	0.9296919619533959	3.3766	-3.064	0.006996418220698992	0.992315355233261	0.05263971804144956
AT2G40740		14	-0.1125	0.429	-0.088	0.930922651957014	7.4057	-4.13	0.0004727152771321974	0.992315355233261	0.009742045276550504
AT3G46590		14	0.0833	0.571	0.087	0.9320063461581081	-1.4998	0.746	0.46837157314003497	0.992315355233261	0.6768540416718798
AT5G52660		14	0.0581	0.357	0.086	0.9324408466443594	3.6783	-2.583	0.021385934384911823	0.992315355233261	0.10235449851439744
AT4G34590		14	0.0755	0.429	0.086	0.9325364616989242	0.5812	-0.485	0.6329289716345612	0.992315355233261	0.8043118835248847
AT2G46130		14	-0.0805	0.357	-0.082	0.9356156454702425	4.3559	-3.494	0.0020528841984701666	0.992315355233261	0.025607029212496288
AT5G59990		14	-0.0263	0.571	-0.078	0.9393405437934369	-0.2581	0.524	0.6057974226192677	0.992315355233261	0.7867067899220079
AT2G36270		14	-0.1184	0.643	-0.075	0.9412138726696841	-0.7086	0.329	0.7453548246758407	0.992315355233261	0.8664595262266201
AT1G32150		14	-0.1212	0.643	-0.073	0.9427898900386837	0.0722	-0.1	0.9214092870517867	0.992315355233261	0.9598857188187844
AT3G61150		14	-0.0361	0.571	-0.058	0.9549298999790888	-1.1264	1.143	0.26664094242548037	0.992315355233261	0.4787416920821125
AT5G40330		14	-0.0191	0.429	-0.057	0.9557052767760446	0.4855	-1.169	0.25493192718578317	0.992315355233261	0.4629798217856752
AT1G27360		14	0.0107	0.429	0.056	0.9559280931242236	0.7352	-1.312	0.21533328825342363	0.992315355233261	0.4217685067443091
AT3G18400		14	0.055	0.643	0.056	0.9563322544658548	3.7376	-2.442	0.02412065119083694	0.992315355233261	0.10888751109006391
AT3G52440		14	-0.0387	0.429	-0.055	0.9572612470293878	-1.055	1.068	0.29696043932511895	0.992315355233261	0.5082061837762647
AT3G49530		14	0.0275	0.429	0.052	0.9592321510863708	2.0924	-2.836	0.009720036066098022	0.992315355233261	0.06340184914494174
AT2G30250		14	-0.0618	0.357	-0.048	0.9623634557516834	8.8059	-4.615	0.00016271098690676057	0.992315355233261	0.005278852692999174
AT3G13350		14	0.012	0.357	0.046	0.96410790299022	0.2481	-0.4	0.6952710915032927	0.992315355233261	0.8385712401337423
AT3G22780		14	-0.0157	0.429	-0.045	0.9645129101192542	0.8405	-2.156	0.04369742997279866	0.992315355233261	0.1557336977977937
AT1G77200		14	-0.042	0.5	-0.045	0.9650377706485327	2.9358	-1.987	0.06159058613612941	0.992315355233261	0.1923905771936747
AT1G75080		14	-0.0112	0.571	-0.042	0.9671340082571767	-0.4676	1.267	0.21853398376283673	0.992315355233261	0.42452913239174017
AT4G01280		14	0.0225	0.5	0.039	0.969646325487358	3.9923	-3.198	0.006468287347327782	0.992315355233261	0.052543555156819736
AT2G01940		14	0.0095	0.5	0.037	0.9711977190698655	0.0881	-0.153	0.8803750605211805	0.992315355233261	0.9365043074094866
AT4G32800		14	-0.0308	0.5	-0.035	0.9724888839275152	2.4714	-2.106	0.04691404985991764	0.992315355233261	0.1635092620117718
AT4G26640		14	0.0371	0.643	0.034	0.9731526762651361	7.2035	-4.951	5.999341277404306e-05	0.992315355233261	0.005278852692999174
AT2G44940		14	-0.0279	0.5	-0.032	0.9750787956223699	1.8442	-1.484	0.15264453060030317	0.992315355233261	0.33810050235768085
AT4G18170		14	0.0351	0.5	0.028	0.9778286794679971	8.8079	-4.833	9.300111611876011e-05	0.992315355233261	0.005278852692999174
AT4G31800		14	0.03	0.571	0.027	0.97910536880126	7.0701	-4.789	8.793602507667001e-05	0.992315355233261	0.005278852692999174
AT1G13260		14	-0.0068	0.5	-0.026	0.9795443470183245	-0.7709	1.6	0.12894109573436977	0.992315355233261	0.3057560060145945
AT5G66940		14	-0.0203	0.5	-0.026	0.9797544013695488	-1.6692	1.702	0.10312547317343006	0.992315355233261	0.2700633938353914
AT1G63040		14	0.0051	0.643	0.021	0.9836912034241976	-0.218	0.62	0.5419222443090195	0.9941783164670995	0.7276802940580035
AT1G69570		14	0.0126	0.5	0.015	0.9878966939479954	-1.3228	1.287	0.21161478492975083	0.9958953002320525	0.4179392002362579
AT4G00730		14	-0.0063	0.5	-0.011	0.9915034297159873	-0.8381	0.929	0.36438580214701943	0.9958953002320525	0.5607755526548286
AT1G76110		14	-0.0048	0.357	-0.011	0.9916932103576557	0.1756	-0.278	0.784057852263017	0.9958953002320525	0.8867753235805242
AT3G10580		14	-0.004	0.571	-0.006	0.9955432491592606	-0.531	0.553	0.5861671799952609	0.997647991757906	0.7739366109129628
AT4G12670		12	-0.0006	0.333	-0.001	0.9990505777381524	-0.4669	0.508	0.6204474083204333	0.9990505777381524	0.7928065365913036
