Gene	10|1	10|2	20|1	20|2	45|1	45|2	90|1	90|2	180|1	180|2	360|1	360|2	720|1	720|2	1440|1	1440|2	20|3	20|4	90|3	90|4	180|3	180|4	360|3	360|4	720|3	720|4	1440|3	1440|4
AT2G41040	0.2352	0.5529	0.073	0.4594	-0.4298	-0.3181	0.3128	-0.3508	-0.2073	0.2347	-0.045	0.0124	-0.2789	-0.5648	-0.0499	-0.1975	-0.5922	-0.4665	0.3764	0.4279	0.5189	0.2837	0.1076	0.2362	0.1648	0.0011	0.2413	0.1575
AT2G41050	0.1509	0.457	0.2151	0.2084	-0.5508	-0.3643	0.1647	-0.2552	-0.352	-0.0655	0.1143	-0.5644	-0.0812	-0.2293	0.1138	-0.0172	-0.454	-0.5754	0.0823	0.1214	0.1484	-0.0074	-0.3583	0.0339	-0.1384	-0.0579	-0.6886	-0.673
AT2G41060	-0.6693	-0.7124	-0.5831	-0.6858	-0.0433	0.0721	0.1126	0.0228	-0.3026	-0.7178	-0.783	-2.0301	-0.7932	-0.8705	-0.742	-0.7592	-0.0051	-0.2999	0.3379	0.2282	-0.3237	-0.1484	0.0544	-0.0157	-0.1058	-0.1206	-0.1921	0.1366
AT2G41070	-0.6447	-0.5768	-0.3849	-0.2355	0.1871	0.7059	0.5015	0.6371	0.597	-0.2073	-0.581	-0.0752	-1.1409	-0.6588	0.2224	0.0919	0.6359	0.7149	-0.0296	0.0719	-0.0542	-0.4144	-0.3255	-0.5017	0.1613	0.3963	0.3426	0.5718
AT2G41080	-0.1997	-0.2035	0.0137	-0.1543	0.1591	0.0948	0.3471	0.2214	0.1923	-0.0131	-0.0511	-1.6985	-0.4693	-0.2211	-0.0397	0.1366	0.1755	-0.3884	-0.0589	0.0295	-0.1925	0.1524	0.1538	0.1481	-0.1243	0.1509	-0.0593	0.2429
AT2G41090	0.0185	0.4344	-0.0408	0.4091	-0.0024	0.7787	0.8541	-0.2369	1.3843	1.0491	1.1421	1.3724	0.859	0.1051	2.9127	2.6568	-0.0485	-0.2802	-0.0123	-0.2625	-0.266	-0.3627	0.2665	0.5899	0.6513	1.1374	1.8132	2.6423
AT2G41100	1.5435	0.7056	2.1301	1.3189	2.381	1.4749	1.613	0.1557	0.793	-0.4441	-2.1186	-3.3958	-2.3011	-2.4272	0.8472	0.693	3.7513	3.9039	1.3145	1.2559	0.3357	-0.1806	-0.9236	-0.8489	-0.1315	0.6413	3.3231	3.3258
AT2G41110	0.0046	0.1987	0.1855	0.2728	-0.0159	0.2198	0.282	-0.1537	-0.2257	-0.1814	-0.1873	0.641	-0.1397	-0.0493	0.2225	0.1708	0.7207	0.7239	0.7496	0.8941	0.081	0.1286	-0.0482	-0.0844	0.3196	0.2449	0.3113	0.4266
AT2G41120	0.1207	0.3576	0.3	0.4558	0.1506	0.1048	0.2379	-0.1394	-0.2812	-0.1435	0.7906	0.1246	0.4238	0.1174	0.2759	0.5492	-0.0808	-0.6491	-0.241	-0.1358	-0.0687	-0.3116	0.0142	-0.1203	0.4006	0.1427	-0.0398	-0.0424
AT2G41130	-0.2113	-0.0509	0.0356	-0.1392	0.0058	-0.0777	-0.277	0.2286	0.177	0.1632	0.0409	-0.7544	-0.314	-0.1221	0.1009	0.08	0.3012	0.1649	0.5142	0.3063	0.2377	-0.2306	0.1523	-0.04	0.0833	-0.1164	0.3071	0.0536
