Gene	5760|1	5760|2	5760|3	5760|4	5760|5	5760|6	5760|7	5760|8	11520|1	11520|2	11520|3	11520|4	11520|5	11520|6	11520|7	11520|8	11520|9	11520|10	11520|11	11520|12	5760|9	5760|10	5760|11	5760|12	5760|13	5760|14	5760|15	5760|16	11520|13	11520|14	11520|15	11520|16	11520|17	11520|18	11520|19	11520|20	11520|21	11520|22	11520|23	11520|24	5760|17	5760|18	5760|19	5760|20	5760|21	5760|22	5760|23	5760|24	5760|25	5760|26	5760|27	5760|28	8640|1	8640|2	8640|3	8640|4	5760|29	5760|30	5760|31	5760|32	8640|5	8640|6	8640|7	8640|8
AT3G21175	0.2292	0.0488	-0.0023	-0.128	0.0915	-0.0107	0.0426	-0.2606	0.2529	0.1554	-0.0017	-0.0038	0.3484	0.0266	0.0206	0.0188	0.179	0.1811	0.3383	0.4358	-0.7363	-0.0128	-0.4527	-0.2639	0.0548	0.1805	0.2317	0.4121	0.1306	-0.0908	0.0303	-0.3098	0.2037	-0.0178	-0.2368	0.1033	0.209	0.3707	0.3303	0.4072	-0.6632	0.0602	-0.3022	-0.3797	-0.1909	0.2692	-0.0628	-0.1258	-0.4566	-0.2226	-0.3481	-0.1213	0.0321	-0.2789	-0.3197	-0.0014	-0.003	-0.4836	-0.4465	0.0091	-0.0993	-0.3875	0.1292	0.1075
AT3G21190	-0.5924	-0.6344	-0.5341	-0.8395	-0.9557	-1.0951	-1.2504	-1.0937	-0.0806	-0.2138	-0.232	-0.11	0.0101	-0.4877	-0.6769	-0.2412	0.082	-0.04	-0.0218	0.1114	-1.0612	-1.0463	-0.8012	-1.1912	-0.6475	-0.3421	-0.4424	-0.4004	-0.4993	-0.3654	-0.3898	-0.4174	-0.26	-0.1262	-0.1781	-0.1505	0.6032	0.6097	0.4227	0.4734	-0.8219	-0.807	-0.7608	-0.5618	-0.9519	-1.1178	-0.5761	-0.7465	0.024	0.1297	0.28	-0.4269	-0.0712	-0.2519	-0.1542	-0.2751	0.8217	-0.1265	-0.413	0.4687	0.6996	0.2652	0.4788	1.1282
AT3G21200	-0.2863	-0.3702	-0.2794	-0.1661	0.282	-0.0944	0.0756	0.1189	-0.0096	-0.0507	-0.1881	0.0279	0.0093	-0.102	0.1568	-0.0464	0.0346	-0.1814	-0.044	-0.0029	-0.1759	-0.1427	-0.1245	-0.2454	-0.1594	-0.2727	-0.3635	-0.2796	0.1345	0.1888	0.4004	0.3264	-0.0485	0.0057	0.1434	0.2175	0.2927	-0.0816	-0.0935	0.1293	-0.3589	-0.3257	0.1648	-0.3075	-0.4284	0.1481	-0.0208	-0.4091	-0.3109	-0.4044	-0.4019	-0.4522	0.1414	0.3795	0.513	0.0239	0.082	0.0471	0.4183	-0.8208	-1.1878	0.1482	0.1822	-0.2892
AT3G21215	-0.1415	-0.2868	-0.0128	-0.0433	-0.3996	-0.0708	-0.4461	-0.195	0.2697	0.1046	0.0797	0.058	-0.1786	-0.3486	-0.3647	-0.1761	0.0819	0.1036	0.1284	0.2935	-0.0641	-0.1175	0.1941	0.1013	-0.0194	0.0111	-0.2629	-0.1176	0.1313	-0.3127	-0.0613	-0.135	0.3017	-0.1424	0.0355	0.1092	-0.2033	0.0441	0.0316	0.3542	0.1064	0.0529	0.1119	0.3645	0.2718	0.0657	0.0567	0.1245	0.1618	-0.3286	-0.193	-0.0486	-0.3341	-0.6236	-0.3254	-0.3078	-0.8517	-0.3522	-0.2131	0.1833	0.1018	-0.239	-0.0798	-0.253
AT3G21220	-0.7533	-0.6116	-0.306	-0.0799	-0.8567	-0.9159	-0.43	-0.3383	-0.3578	-0.3726	-0.0093	-0.4072	-0.4459	-0.8236	-0.4307	-0.5482	-0.3105	0.0875	-0.2759	-0.2611	-0.3583	-0.6083	-0.3136	-0.4307	0.0168	-0.2092	-0.5148	-0.6565	-0.2931	-0.1204	-0.1033	-0.3629	-0.1943	-0.0218	-0.2641	-0.0046	-0.2003	-0.2515	-0.0833	-0.0393	-0.2595	-0.5096	-0.4854	-0.2149	-0.332	-0.4382	-0.7648	-0.4596	0.9044	0.7635	0.4792	0.298	0.6526	0.2657	0.3522	0.4835	0.6925	0.2565	-0.1408	0.9002	0.8074	0.276	0.2582	0.9229
AT3G21230	-0.599	-0.3268	-0.2786	-0.7356	-0.2007	-0.467	-0.6189	-0.9578	-0.3978	-0.0456	-0.1332	-0.2499	-0.1772	0.0903	-0.2416	0.1413	-0.1322	-0.0156	0.072	-0.2801	-0.7748	-0.6077	-0.7225	-0.9187	-0.6179	-0.161	-0.2092	-0.4814	-0.2445	-0.2634	0.1033	-0.0865	-0.3514	-0.3704	-0.1934	-0.0037	0.1216	0.4138	0.1451	0.1956	-0.8817	-0.7146	-0.2535	-0.8295	-1.0256	-0.5008	-1.3922	-0.7553	0.9602	0.8968	1.2795	1.0341	0.421	-0.1	-0.5744	-0.428	0.9957	0.2128	0.2655	1.3347	0.8049	-0.2489	-0.594	0.1511
AT3G21240	-0.2933	-0.2587	-0.2849	-0.5874	-0.5231	-0.4544	-0.2041	-0.609	0.0613	0.0794	0.0586	-0.023	-0.093	-0.0058	-0.383	0.1781	0.303	0.3847	0.4054	0.3873	-0.9254	-0.7653	-0.6477	-1.3533	-0.2614	0.0411	0.0674	0.0327	-0.3886	-0.2386	-0.0928	-0.0358	-0.1889	-0.039	0.164	0.1069	0.0375	0.2894	0.2989	0.3377	-0.7257	-0.5656	-0.453	-0.448	-1.1536	-0.3079	-0.5118	-0.3256	1.4776	0.7609	0.5074	0.28	-0.0171	0.3321	0.2622	0.133	1.4671	0.4746	-0.1348	1.3939	0.9092	-0.0824	0.5567	0.9944
AT3G21250	0.5307	0.2613	0.7852	0.0589	0.2045	0.6375	0.3201	-0.2294	0.4469	0.6495	0.2745	0.3645	0.3523	0.288	0.0203	0.3546	0.4277	0.3378	0.7127	0.5101	-0.5909	0.0109	1.0734	0.4873	0.1222	0.8484	0.3246	0.5939	0.5315	0.5894	0.5309	0.2655	0.3132	0.371	0.0472	0.3126	0.5248	0.5451	0.4537	0.5444	-0.8091	-0.2073	0.2055	0.8551	0.269	0.383	-0.1512	0.0662	0.3835	0.0786	0.2887	-0.1362	-0.1158	-0.3808	-0.7685	-0.325	-0.6976	-1.3368	-1.0432	0.6994	0.3512	-1.006	-0.9017	-0.1238
AT3G21260	0.3387	0.8098	0.2041	-0.1425	1.6005	1.3855	1.0019	0.1764	-0.1792	0.3445	-0.2736	-0.6027	0.0916	-0.0283	0.1277	0.1908	-0.7915	-0.4624	0.1557	-0.368	-0.1679	-0.2365	-0.8692	-0.7647	-0.3313	0.0153	0.621	0.1499	0.2095	0.2348	0.2431	0.1168	-0.245	-0.2197	-0.3377	-0.2114	-0.1973	-0.4334	-0.7157	-0.1827	-0.6224	-0.691	0.5081	-1.3237	-1.2192	1.5321	0.2442	0.0796	0.1281	-0.2305	-0.7283	0.2383	-0.0983	-0.6588	-0.8959	-0.0395	-0.9691	-0.8279	-0.2838	-0.3883	-0.0691	-0.9204	-0.5684	-0.5867
AT3G21270	-1.0041	-0.011	-0.1075	-0.4226	-0.0318	0.2303	-0.0319	-0.8955	-0.8187	-0.6283	-0.1311	-0.3657	0.4129	-0.4418	-0.4178	-0.4654	-0.3642	-0.1297	-0.6268	-0.8172	-0.4549	-0.6714	-1.1366	-0.5038	-0.4211	-0.106	-0.0095	-1.0026	-0.3996	-0.704	0.064	-0.3739	-0.5663	-0.8707	-0.5405	-0.1027	-0.1627	-0.3005	-0.4234	-0.2445	-0.6216	-0.8381	-0.3873	-1.3033	-0.6705	0.3265	0.1298	-0.0889	0.1265	-0.3613	-0.1444	-0.3967	0.1295	-0.2806	-0.0473	0.1597	0.1122	-0.3038	-0.4305	-0.0807	0.4538	0.3389	0.4862	0.7854
AT3G21280	-0.1971	0.2154	0.2644	-0.0559	0.1652	-0.2122	-0.2206	0.1012	0.0711	-0.0769	0.3804	0.4333	0.193	-0.2398	0.2366	0.1397	0.3501	0.2973	-0.1601	-0.0121	0.2146	-0.3756	0.1334	-0.1237	-0.1391	0.1812	0.1323	-0.2802	0.0099	0.3605	-0.325	-0.5583	-0.0892	0.2613	-0.6574	-0.4241	0.3385	0.2438	0.4755	0.3674	0.1155	-0.4747	0.2695	0.0343	-0.2228	-0.2262	0.5259	0.4675	-0.0598	0.0202	-0.0416	-0.3589	0.0719	-0.1136	-0.1344	-0.0198	0.1926	-0.3492	-0.3082	0.1537	0.3233	-0.084	0.1338	0.5601
AT3G21290	-0.4143	-0.0137	0.4908	0.2938	0.0222	-0.6901	-0.8129	-0.0969	-0.1432	-0.1632	-0.0433	-0.0757	0.2169	0.0451	-0.0634	0.1809	0.1236	0.156	0.036	0.056	-0.0843	0.2206	0.3983	0.4585	0.493	0.69	0.1855	-0.2151	0.51	0.2762	0.4145	0.0076	0.4792	0.2453	-0.0232	0.3837	0.2794	0.4421	0.6015	0.5748	-0.1151	0.1898	0.3933	0.3676	0.4277	0.1739	0.9333	0.9557	0.538	0.1164	0.041	-0.2886	0.1609	-0.0812	0.1302	0.1135	0.1487	0.147	0.0644	0.1552	0.1435	0.0398	0.1499	0.4139
AT3G21295	0.2043	0.3587	0.1339	0.0124	0.2808	0.4036	0.1961	0.1327	-0.0678	0.2616	0.1924	0.5228	0.3811	-0.1428	0.4103	0.3376	0.746	0.4157	0.4849	0.1555	-0.5701	-0.0286	0.1995	0.4583	0.2357	0.3572	0.582	0.4276	0.3513	0.004	0.7389	0.3874	0.1548	-0.1925	0.1909	0.5424	0.3455	0.3129	0.2799	0.1084	-0.7666	-0.225	0.1888	0.003	0.2619	0.4226	0.1722	0.6189	-0.1865	-0.2472	0.2991	-0.3401	-0.2228	-0.1277	-0.6528	-0.3344	0.625	0.0004	-0.4151	0.0151	0.3798	0.0141	0.1323	0.342
AT3G21300	0.3137	-0.0654	0.413	0.4465	0.6123	0.0604	0.2322	0.9414	0.4757	0.7186	0.1107	0.8716	-0.005	-0.2312	0.0489	-0.2397	0.9625	0.2015	0.8094	0.5666	0.2245	-0.7263	-0.4927	-0.5239	0.5373	0.5039	0.0255	0.4046	0.5053	0.2564	0.2234	-0.1477	0.7757	0.5267	0.1227	0.4938	0.3644	-0.0363	0.2548	0.3051	0.4949	-0.4559	0.1267	-0.2223	-0.2535	0.9502	0.3102	0.5828	-1.1748	-0.7412	-0.9502	-1.628	0.0717	0.1766	0.7316	0.1412	-0.2976	-0.8813	-0.3431	-1.376	-1.0223	0.1817	0.6471	0.0345
AT3G21330	0.6961	1.0421	0.4838	-0.2369	0.8432	0.4109	1.1267	1.0855	0.1491	-0.1521	-0.0849	-0.2618	0.4861	-0.0148	0.262	-0.5066	-0.3601	-0.1832	-0.2504	0.0508	-0.3952	0.2668	-0.5648	-0.3763	-0.3352	0.3855	0.9438	0.5978	0.4117	-0.4764	0.2765	-0.3659	0.4156	-0.4724	-0.3619	0.2805	0.2597	0.1529	0.2141	-1.0027	-0.3912	0.2708	-1.072	-0.5608	-0.3724	-0.2468	0.6445	0.2849	2.0567	2.3145	1.8746	1.1827	0.3695	0.9012	0.7052	0.2305	2.2881	2.089	0.9882	3.1213	2.1369	1.4222	1.6478	2.2382
AT3G21350	0.0646	0.2813	0.1715	0.2537	-0.068	0.0119	0.0239	0.0952	0.2668	0.2755	0.1048	0.3549	0.1013	0.1929	0.2214	0.1699	0.1614	-0.0887	0.082	0.0734	0.224	0.6118	0.3878	0.1841	0.0603	-0.0219	0.0879	-0.1288	0.4228	0.0738	0.5303	0.1918	0.4741	0.125	0.2432	0.5816	0.2353	0.0315	0.223	0.1791	0.2754	0.6631	0.2995	0.4392	0.2354	0.524	-0.0468	0.1605	-0.5207	-0.6174	-0.4239	-0.8238	-0.4803	-0.7372	-0.5565	-0.2372	-0.4474	-0.7559	-0.5077	-0.5914	-0.071	-0.1944	-0.0142	-0.2183
AT3G21360	0.1003	0.0126	0.0015	-0.132	0.3793	0.4034	0.0564	-0.5432	0.009	-0.3711	0.2306	-0.0163	0.2064	-0.2192	0.2624	0.3682	-0.2281	0.0189	-0.5829	-0.2028	1.6133	-0.0266	-0.4134	0.852	-0.3437	-0.2102	-0.1992	-0.1115	0.1593	-0.1584	0.001	0.1308	0.1757	-0.142	0.1472	0.0174	-0.2096	0.5188	0.3843	0.0672	1.6297	-0.0102	1.0257	-0.397	0.8684	0.4459	1.6443	1.5136	0.5443	0.2392	0.3652	0.4674	0.1585	0.0664	0.0022	0.5906	0.3212	0.5994	-0.1063	0.4083	0.0042	0.227	0.5004	-0.1095
AT3G21390	-0.0872	-0.4913	-0.1513	-0.0344	-0.0013	-0.23	-0.8324	-0.4423	0.0527	0.0228	0.142	-0.004	0.3447	-0.1364	-0.3982	-0.0116	-0.1641	-0.0182	-0.1374	-0.1075	-0.7102	0.048	-0.2424	-0.48	-0.1945	-0.3114	-0.6515	-0.2473	0.1669	-0.6493	-0.0955	-0.0417	0.2578	-0.5585	0.0492	-0.0047	-0.2314	0.0203	0.045	-0.2381	-0.6193	0.1389	-0.2986	-0.1515	-0.3892	0.6838	-0.0267	-0.4954	0.135	0.1287	0.1136	0.4074	0.1559	-0.1046	-0.2953	0.1825	-0.2115	0.2125	0.0855	0.1144	0.0646	0.0137	-0.0848	-0.304
AT3G21400	-0.0564	-0.0097	-0.3855	-0.2963	0.1308	-0.2372	0.0437	0.0687	0.1753	0.0728	0.0604	-0.014	-0.0977	-0.0287	0.0221	0.1053	0.0864	0.1608	0.1731	0.2757	-0.0684	-0.0858	-0.5503	-0.2585	-0.196	-0.2852	0.0906	0.0439	0.2562	0.5424	0.1791	0.4519	0.2267	0.5128	0.4224	0.1495	0.3088	0.1382	-0.0556	-0.0504	-0.0979	-0.1154	0.1126	-0.5799	-0.2881	0.1191	0.0029	-0.0339	0.3138	0.0885	-0.3099	-0.1148	0.3585	-0.274	0.0573	0.5001	0.0146	-0.7885	-0.6539	0.256	-0.0005	-0.4365	0.1852	-0.1144
AT3G21420	0.0123	-0.1546	0.01	-0.3891	-0.492	-0.1761	-0.4703	-0.8986	0.1962	0.0396	-0.2211	-0.1219	0.0382	-0.064	-0.2185	-0.5471	-0.0676	-0.1668	0.0939	0.2505	-0.9214	-0.2026	-0.0735	-0.4274	-0.3348	0.0643	-0.1003	0.0667	-0.259	-0.3937	0.1864	-0.3811	-0.092	-0.2267	-0.2141	0.3534	0.3751	0.4775	0.3348	0.4314	-0.7543	-0.0356	-0.6912	0.0935	-0.2604	0.0574	-0.512	-0.7173	-0.0947	0.5297	0.3931	-0.5652	0.1503	-0.205	-0.7758	-0.2116	1.4882	1.1151	0.1472	1.288	1.34	0.264	0.6456	1.6591
AT3G21430	0.0135	0.208	-0.1265	0.2297	0.1187	-0.208	0.1841	-0.0094	-0.1655	0.202	-0.1108	-0.1621	0.0528	-0.1092	-0.081	0.0248	0.0402	0.0915	0.4043	0.0368	0.1667	0.3402	0.504	0.3487	0.432	0.0757	0.4103	0.2157	0.397	0.1999	0.4613	-0.3022	0.3329	0.1357	-0.3663	0.3972	0.2494	0.379	0.3305	0.1545	0.1026	0.2761	0.7468	0.4399	0.2846	0.083	0.0578	0.8724	0.4044	0.3084	0.4971	0.1395	0.0879	-0.5352	0.0411	0.0799	0.1822	-0.2782	-0.4378	0.4781	0.4407	-0.3703	0.0645	-0.0409
AT3G21465	0.3781	-0.1066	0.2206	-0.1352	-0.0026	-0.1184	-0.1988	-0.1594	0.5122	0.3305	0.4502	0.3779	0.3088	0.004	-0.1801	0.0033	0.2833	0.3556	0.2359	0.4176	-0.7007	-0.2754	-0.0583	0.1312	-0.2298	0.126	-0.2012	0.2835	0.3968	0.3691	0.0893	0.4924	0.3277	0.2999	0.4234	0.0202	0.4596	0.521	0.4973	0.3871	-0.7698	-0.3445	-0.3286	-0.1274	0.0621	0.0676	-0.8371	-0.5942	0.1001	-0.335	-0.3575	-0.6071	0.3934	0.0282	0.5902	0.4031	0.1661	-0.0987	-0.3691	-0.188	-0.2238	0.5552	0.721	0.3199
AT3G21470	0.5287	-0.2416	0.7363	0.1335	-0.0794	0.239	-0.0585	-0.2936	0.5959	-0.066	0.0554	0.1335	0.5426	0.3369	-0.1942	-0.8373	0.1506	0.0726	-0.0488	0.613	-0.4845	-0.5215	0.2935	0.587	0.1507	0.7535	-0.2244	0.5458	0.5375	-0.0432	0.1313	0.7281	0.3464	-0.2344	0.537	-0.0598	-0.2394	-0.5482	0.2793	-0.0972	-0.6756	-0.7126	-0.801	0.1024	0.3959	0.2087	0.4144	-0.4447	-0.2423	-0.0951	-0.7329	-0.8482	-0.3011	0.4437	-0.098	0.0954	-0.1857	-0.5071	-0.4499	-0.2401	-0.5028	0.1392	0.3326	-0.0183
AT3G21480	0.0252	0.2721	-0.0273	-0.1852	-0.2205	0.0579	0.4569	-0.6343	0.454	0.2487	-0.0926	0.4491	0.2202	0.5512	0.1954	0.3698	0.5599	0.0182	0.3596	0.5648	-0.0985	0.2495	0.4933	-0.0873	-0.0743	0.0836	0.383	0.136	0.1039	0.2689	0.2728	0.2042	0.1072	0.2722	0.2076	0.2762	0.4679	0.6999	0.4947	0.4896	-0.0951	0.2529	0.8139	0.4967	-0.0839	0.1425	0.1026	1.0477	-1.1609	-1.147	-0.5977	-1.2995	-0.7162	-0.6534	-0.1605	-0.6704	-0.1527	-0.3369	-0.3251	-0.5748	-0.5097	0.2202	0.462	0.5446
AT3G21510	0.5676	0.5588	0.2504	0.0345	0.9996	1.3087	0.6039	0.326	0.6839	1.0216	0.779	0.515	0.8683	0.8335	0.6284	0.7239	0.5971	0.8612	1.1038	0.7661	-0.02	0.1149	0.0949	0.0075	0.1167	0.3326	0.641	0.6497	1.0654	0.9818	0.9652	0.6833	0.9898	0.9061	0.6076	0.8896	0.7441	0.6846	0.7125	0.6255	-0.0956	0.0392	0.1405	0.0192	-0.0681	0.5156	-0.0688	-0.0346	1.4053	1.1338	0.8834	0.8907	1.0768	0.6751	0.6757	0.7643	1.6615	0.8814	0.9558	1.3696	0.9821	0.5572	0.2981	1.2916
AT3G21530	-0.6268	-0.7096	-1.2167	-1.0387	-0.1641	-0.2134	0.1192	-1.0032	0.0326	0.1737	-0.3636	-0.3758	0.378	0.367	-0.0525	0.9384	0.0232	0.0355	0.5728	0.4317	-1.0484	-0.4577	-0.7186	-0.9872	-0.6397	-0.8176	-0.3105	-0.2277	0.1614	0.0248	0.8005	-0.1748	-0.0026	-0.1393	-0.3388	0.6365	0.8493	0.3668	0.7134	0.7514	-1.2124	-0.6217	-0.775	-0.8826	-1.1512	0.3748	-0.8442	-0.8697	-0.3907	-0.6871	-0.351	-0.3974	-0.0093	-0.011	-0.0525	-0.1257	-0.0297	0.759	0.6362	-0.552	-0.365	0.3402	0.0786	-0.1819
AT3G21540	0.4579	0.0638	0.3936	0.175	-0.3144	-0.2799	0.4301	0.2435	0.2614	-0.56	-0.0818	0.3328	0.0429	-0.2508	0.1064	-0.2907	0.5453	0.1307	-0.3475	0.4739	-0.1945	-0.0268	0.1728	0.0348	0.3875	0.6061	0.2764	0.6705	0.2787	0.561	0.2347	0.1789	0.1744	0.4565	0.0746	0.1304	0.6676	0.8255	0.6906	0.5666	-0.2988	-0.1311	0.4568	0.0685	-0.0695	-0.2773	0.6346	0.4677	-1.1841	-1.1328	-0.6317	-1.7613	0.1885	0.1332	0.383	0.1697	0.6601	-0.5513	-0.3464	-0.8878	-0.8357	0.5118	0.9049	0.7788
AT3G21560	-1.8732	-1.5434	-1.2826	-1.7912	-2.3014	-2.4628	-2.5189	-1.9088	-1.301	-1.0692	-1.3145	-1.4072	-1.7943	-1.546	-1.8203	-1.5141	-1.0009	-0.9082	-0.6629	-0.8947	-1.4932	-1.1425	-1.0305	-0.9199	-1.3849	-0.8763	-1.1371	-1.4668	-1.3874	-1.0961	-0.9075	-0.9816	-1.1603	-0.8691	-0.7545	-0.6804	-0.8461	-0.6148	-0.8769	-0.6521	-1.2661	-0.9154	-1.7716	-0.8034	-0.6929	-2.0336	-1.3797	-1.0108	0.453	0.2799	0.4715	0.1869	-0.1938	-0.396	-0.2072	0.0392	0.3998	-0.0693	-0.207	0.6534	0.0654	-0.4761	0.1133	0.0379
AT3G21580	-0.3574	-0.4792	-0.1879	-0.5488	-0.3097	-0.6929	-0.0872	-0.7057	-0.2609	-0.0542	0.176	0.1976	-0.503	-0.1596	-0.5465	0.0832	0.2444	0.2228	-0.0073	-0.2141	-0.2263	0.06	0.0437	0.1802	-0.502	-0.1411	-0.4324	-0.3106	-0.5411	-1.0924	0.1384	0.0717	-0.2591	-0.8105	0.3536	0.4204	0.4195	0.2414	0.1706	0.2005	0.0557	0.342	-0.1433	0.3257	0.4622	-0.4855	-0.5982	0.2971	0.0708	0.2979	0.0699	0.0603	0.464	0.5308	0.4172	0.5932	0.2707	0.2875	-0.0148	-0.0045	-0.4282	0.3087	0.1147	0.3432
AT3G21600	-0.5671	-0.6878	-0.384	-1.2127	-1.2908	-0.1078	-0.3322	-1.6257	0.5797	0.3731	-0.0419	0.7681	0.0552	0.3968	0.0366	0.3148	0.8158	0.0058	0.4208	0.6274	0.324	-0.6272	-0.789	0.1615	-1.165	-0.3363	-0.6401	-0.5194	0.3905	0.2458	0.4808	0.1811	0.5801	0.4353	0.3707	0.6705	0.4906	1.2286	0.8693	0.9439	0.5136	-0.4376	1.4465	-0.5994	0.3511	0.0566	1.707	2.1528	-0.1366	0.5802	-0.2401	-0.2909	1.5331	0.9215	0.795	1.0066	0.3548	-0.7507	0.2126	0.6234	1.0858	0.7142	0.5906	1.322
AT3G21610	0.2708	0.2231	-0.0242	-0.1474	0.1598	0.2587	0.1608	-0.2531	0.0713	0.1738	-0.1715	0.1787	0.1496	-0.0505	0.0471	0.3737	0.1847	-0.1655	0.1799	0.0774	-0.4774	0.0779	0.0774	-0.3604	-0.1413	-0.0181	0.2291	0.2768	0.0042	0.0665	0.1311	0.2359	-0.0272	0.0404	0.2045	0.0997	-0.0119	-0.0006	-0.0052	0.0843	-0.5087	0.0465	-0.35	0.046	-0.3917	0.5338	-0.7787	0.0043	0.0152	-0.3173	-0.1983	-0.0628	-0.3609	-0.2896	-0.1996	-0.06	-0.0173	-0.0159	-0.1335	-0.0453	0.4406	0.3672	0.2671	0.2658
AT3G21630	0.3992	-0.273	-0.2208	-0.3844	-0.1053	-0.1168	-0.3035	-0.7968	-0.1733	-0.11	-0.2446	-0.6869	0.1399	-0.0314	-0.0927	-0.066	-0.7117	-0.2693	-0.1348	-0.1981	-0.2848	-0.2209	-0.2425	-0.307	-0.4092	-0.2456	-0.2978	0.3744	-0.3096	-0.1118	-0.3254	-0.5861	-0.4494	-0.2516	-0.7258	-0.4652	0.0391	0.5606	0.0493	0.0596	-0.4245	-0.3606	-0.3808	-0.3823	-0.4468	-0.244	0.2936	-0.1386	-0.194	0.1153	-0.0856	-0.0699	0.235	0.212	-0.1846	0.1978	0.3022	-0.1419	-0.2028	0.375	0.7484	-0.0411	0.413	0.5694
AT3G21640	0.1618	0.453	0.2593	0.2988	0.4548	0.3657	-0.1097	-0.2262	0.1846	0.1177	0.242	0.134	0.1439	0.3602	0.0755	0.0802	0.0568	0.1648	0.0405	0.1074	0.1219	0.1965	0.4931	0.3453	0.2215	0.1821	0.3758	0.0846	0.5949	0.0369	0.1513	0.2428	0.4093	-0.1488	0.0572	-0.0343	0.1363	0.0077	0.0257	0.1507	-0.0637	0.0109	0.1151	0.3075	0.1597	-0.0664	-0.5068	-0.1012	0.0798	0.372	-0.0315	0.0176	-0.1487	0.0486	0.0564	-0.0068	0.5383	0.243	-0.1748	0.2628	0.6267	0.1179	0.4748	0.6347
AT3G21650	-0.4082	-0.0855	-0.5211	-0.3658	0.2901	-0.1103	-0.0246	-0.3003	0.4514	-0.1172	-0.0759	0.2393	0.32	-0.0736	0.1391	-0.0489	0.2855	-0.0297	-0.071	0.4976	-0.7918	-0.5861	-0.8221	-0.1703	-0.3197	-0.475	-0.0393	-0.362	0.1658	0.2579	0.1197	-0.2714	0.1178	0.2098	-0.3194	0.0717	0.3579	0.3709	0.1899	0.2968	-0.8398	-0.6341	0.4904	-0.8701	-0.2183	-0.393	1.115	0.8871	-0.6566	-0.6805	-0.7895	-0.5011	-0.4495	-0.9782	-0.7764	-0.3893	-0.7432	-0.9031	-1.0114	-0.4077	-0.1909	-0.7893	-0.4596	-0.8471
AT3G21670	-0.1996	-1.5151	-0.3752	-0.7108	-1.1971	-1.7178	-1.4002	-0.4241	0.0985	-0.1364	-0.5049	-0.3285	-0.8148	-0.2767	-0.4038	0.2488	0.1356	-0.0408	0.3277	0.5626	-0.3364	-0.6241	-0.7878	-0.8276	-0.2467	0.0889	-1.051	0.2644	-0.3415	-0.5086	-1.0027	-0.8968	0.0244	-0.1428	-0.5309	-0.6368	0.5706	0.546	-0.491	-0.0744	0.0295	-0.2582	-0.0825	-0.4218	-0.4617	-0.9262	-0.812	-0.5307	0.1098	-0.6998	-0.6038	-0.2445	0.2609	-0.1055	-0.2961	0.0867	-0.8778	-0.2265	-0.1633	-0.9268	-0.548	-0.6072	-0.9639	-0.6794
AT3G21690	-1.0028	-1.2596	-0.918	-1.1116	-1.3971	-0.81	-0.8905	-1.8829	-0.6519	-0.3082	-0.3553	-0.2908	-0.3576	-0.5098	-0.4988	-0.0852	-0.0807	-0.1451	-0.0981	-0.4417	-0.2433	-0.3824	-0.5266	-0.4089	-0.9015	-0.7079	-1.0495	-0.7927	-0.4935	-0.2664	-0.1066	-0.4503	-0.5584	-0.3315	-0.5153	-0.1715	-0.1513	-0.1044	-0.0628	-0.0291	-0.3083	-0.4474	-0.4424	-0.5915	-0.4738	-0.9317	-0.1292	0.4126	0.2903	-0.0493	0.1687	0.0725	0.1289	-0.0768	-0.1645	0.0104	0.0456	0.0378	-0.0108	0.1608	0.4939	-0.216	-0.1571	0.1275
AT3G21700	-0.0393	-0.0819	0.0506	0.0847	-0.0862	0.0818	0.0505	0.0199	0.0084	-0.1257	0.0146	0.0544	-0.2406	0.2053	-0.0818	0.0354	0.1207	0.0809	-0.0594	0.0747	-0.4043	-0.0813	-0.5362	0.2821	0.151	0.1169	-0.0156	0.027	0.3382	0.1823	0.4954	0.3235	0.1897	0.0337	0.175	0.3469	-0.3423	-0.022	0.1497	0.1175	-0.5528	-0.2297	-0.1864	-0.6847	0.1337	0.0794	-0.3153	-0.0906	-0.8581	-0.8718	-1.3588	-0.9411	-1.1137	-0.9434	-0.7764	-0.744	-0.4356	-1.099	-0.8393	-0.6926	-0.7192	-0.6449	-0.4049	-0.1976
AT3G21710	0.1405	-0.013	-0.2038	-0.3119	1.1584	1.2541	0.8408	0.3971	-0.5611	0.1335	-0.2712	-0.548	0.03	0.1369	0.0242	0.4553	-0.4953	-0.2185	0.1862	-0.5084	-0.7033	-0.184	-0.7061	-0.7825	-0.2593	-0.1511	0.0397	0.1932	0.2106	-0.0462	0.3567	-0.2021	-0.2274	-0.4843	-0.6401	-0.0813	-0.3644	-0.3038	-0.5774	-0.4051	-1.1413	-0.622	0.1404	-1.1441	-1.2205	0.5941	-0.0509	-0.5139	0.8156	-0.0181	-0.1016	0.6284	-0.1428	-0.7222	-0.5035	-0.0092	0.7729	0.4217	0.783	0.7996	0.6636	-0.49	-0.1296	0.4739
