TF	Gene	Input
AT1G25580	AT5G25280	0.5957
AT1G25580	AT5G25350	0.0518
AT1G25580	AT5G25585	0.6353
AT1G25580	AT5G26170	0.2496
AT1G25580	AT5G26190	0.0122
AT1G25580	AT5G26240	0.7568
AT1G25580	AT5G26950	0.6411
AT1G25580	AT5G26955	0.6417
AT1G25580	AT5G27030	0.5457
AT1G25580	AT5G27050	0.3013
AT1G25580	AT5G27170	0.5864
AT1G25580	AT5G27247	0.2362
AT1G25580	AT5G27310	0.6242
AT1G25580	AT5G27350	0.377
AT1G25580	AT5G27760	0.7784
AT1G25580	AT5G27780	0.039
AT1G25580	AT5G27893	0.2525
AT1G25580	AT5G27950	0.619
AT1G25580	AT5G28235	0.9645
AT1G25580	AT5G28320	0.7685
AT1G25580	AT5G28340	0.6696
AT1G25580	AT5G28370	0.9034
AT1G25580	AT5G28390	0.8121
AT1G25580	AT5G28420	0.1792
AT1G25580	AT5G28462	0.3775
AT1G25580	AT5G28540	0.2176
AT1G25580	AT5G28590	0.1844
AT1G25580	AT5G28610	0.58
AT1G25580	AT5G28615	0.5794
AT1G25580	AT5G29624	0.3165
AT1G25580	AT5G32017	0.7022
AT1G25580	AT5G33898	0.1937
AT1G25580	AT5G34581	0.4753
AT1G25580	AT5G34870	0.612
AT1G25580	AT5G35195	0.8837
AT1G25580	AT5G35370	0.484
AT1G25580	AT5G35810	0.9412
AT1G25580	AT5G36310	0.7312
AT1G25580	AT5G36320	0.5777
AT1G25580	AT5G36330	0.9849
AT1G25580	AT5G36340	0.9843
AT1G25580	AT5G36350	0.861
AT1G25580	AT5G36360	0.9447
AT1G25580	AT5G36370	0.8743
AT1G25580	AT5G36460	0.9575
AT1G25580	AT5G36480	0.9738
AT1G25580	AT5G36490	0.9407
AT1G25580	AT5G36500	0.708
AT1G25580	AT5G36520	0.879
AT1G25580	AT5G36550	0.6184
AT1G25580	AT5G36658	0.9348
AT1G25580	AT5G36659	0.7638
AT1G25580	AT5G36870	0.2321
AT1G25580	AT5G36970	0.2571
AT1G25580	AT5G38010	0.0297
AT1G25580	AT5G38190	0.8569
AT1G25580	AT5G38650	0.5649
AT1G25580	AT5G39130	0.4951
AT1G25580	AT5G39140	0.7801
AT1G25580	AT5G39150	0.8982
AT1G25580	AT5G39160	0.9907
AT1G25580	AT5G39170	0.9901
AT1G25580	AT5G39180	0.957
AT1G25580	AT5G39190	0.9488
AT1G25580	AT5G39490	0.7702
AT1G25580	AT5G39770	0.7586
AT1G25580	AT5G39810	0.4904
AT1G25580	AT5G40320	0.1536
AT1G25580	AT5G40405	0.1385
AT1G25580	AT5G40840	0.7923
AT1G25580	AT5G41500	0.5113
AT1G25580	AT5G41630	0.2856
AT1G25580	AT5G41660	0.6527
AT1G25580	AT5G41940	0.3362
AT1G25580	AT5G42053	0.1321
AT1G25580	AT5G42092	0.6987
AT1G25580	AT5G42210	0.6073
AT1G25580	AT5G42740	0.3089
AT1G25580	AT5G43010	0.4026
AT1G25580	AT5G43100	0.2036
AT1G25580	AT5G43211	0.3874
AT1G25580	AT5G43300	0.4375
AT1G25580	AT5G43440	0.1856
AT1G25580	AT5G43450	0.4194
AT1G25580	AT5G43455	0.4188
AT1G25580	AT5G43630	0.7609
AT1G25580	AT5G43700	0.4369
AT1G25580	AT5G43822	0.7865
AT1G25580	AT5G44540	0.0221
AT1G25580	AT5G44900	0.7795
AT1G25580	AT5G45400	0.8022
AT1G25580	AT5G45472	0.5998
AT1G25580	AT5G45620	0.1838
AT1G25580	AT5G45770	0.2635
AT1G25580	AT5G45775	0.7266
AT1G25580	AT5G45820	0.4316
AT1G25580	AT5G46825	0.5084
AT1G25580	AT5G46830	0.509
AT1G25580	AT5G47380	0.0233
AT1G25580	AT5G48020	0.7999
AT1G25580	AT5G48360	0.4503
AT1G25580	AT5G48690	0.726
AT1G25580	AT5G48710	0.5986
AT1G25580	AT5G48720	0.8691
AT1G25580	AT5G48830	0.0686
AT1G25580	AT5G48990	0.0494
AT1G25580	AT5G49110	0.847
AT1G25580	AT5G49300	0.5806
AT1G25580	AT5G49480	0.8679
AT1G25580	AT5G49630	0.2734
AT1G25580	AT5G49990	0.6481
AT1G25580	AT5G50150	0.1024
AT1G25580	AT5G50330	0.2693
AT1G25580	AT5G50410	0.26
AT1G25580	AT5G50440	0.3799
AT1G25580	AT5G50443	0.3793
AT1G25580	AT5G50520	0.9814
AT1G25580	AT5G50717	0.7132
AT1G25580	AT5G51030	0.4497
AT1G25580	AT5G51150	0.3543
AT1G25580	AT5G51180	0.6585
AT1G25580	AT5G51260	0.1443
AT1G25580	AT5G51585	0.6882
AT1G25580	AT5G51730	0.3002
AT1G25580	AT5G52180	0.5451
AT1G25580	AT5G52190	0.5445
AT1G25580	AT5G52530	0.171
AT1G25580	AT5G53010	0.3264
AT1G25580	AT5G53160	0.4293
AT1G25580	AT5G53570	0.5276
AT1G25580	AT5G54000	0.6702
AT1G25580	AT5G54850	0.0884
AT1G25580	AT5G54970	0.5748
AT1G25580	AT5G55055	0.445
AT1G25580	AT5G55060	0.4456
AT1G25580	AT5G55330	0.064
AT1G25580	AT5G55505	0.0442
AT1G25580	AT5G55507	0.0448
AT1G25580	AT5G55880	0.8848
AT1G25580	AT5G55890	0.8749
AT1G25580	AT5G56320	0.05
AT1G25580	AT5G56368	0.8133
AT1G25580	AT5G56745	0.3217
AT1G25580	AT5G56750	0.3223
AT1G25580	AT5G56780	0.6457
AT1G25580	AT5G57560	0.1379
AT1G25580	AT5G57650	0.541
AT1G25580	AT5G58070	0.662
AT1G25580	AT5G58270	0.4305
AT1G25580	AT5G58610	0.6259
AT1G25580	AT5G59420	0.7603
AT1G25580	AT5G59780	0.6248
AT1G25580	AT5G59945	0.1076
AT1G25580	AT5G60090	0.7213
AT1G25580	AT5G60180	0.7993
AT1G25580	AT5G60230	0.8586
AT1G25580	AT5G60250	0.8581
AT1G25580	AT5G60370	0.5265
AT1G25580	AT5G61160	0.0774
AT1G25580	AT5G61190	0.3962
AT1G25580	AT5G61310	0.3438
AT1G25580	AT5G61320	0.3432
AT1G25580	AT5G61340	0.2595
AT1G25580	AT5G61420	0.1437
AT1G25580	AT5G61660	0.5503
AT1G25580	AT5G62280	0.6265
AT1G25580	AT5G62660	0.0023
AT1G25580	AT5G62690	0.1768
AT1G25580	AT5G62960	0.9703
AT1G25580	AT5G63050	0.235
AT1G25580	AT5G63200	0.128
AT1G25580	AT5G63450	0.1681
AT1G25580	AT5G63630	0.0058
AT1G25580	AT5G63750	0.1012
AT1G25580	AT5G64060	0.6783
AT1G25580	AT5G64330	0.1902
AT1G25580	AT5G64687	0.3316
AT1G25580	AT5G65360	0.7341
AT1G25580	AT5G65370	0.7347
AT1G25580	AT5G65720	0.5241
AT1G25580	AT5G65820	0.4782
AT1G25580	AT5G65920	0.2548
AT1G25580	AT5G66120	0.7743
AT1G25580	AT5G66130	0.733
AT1G25580	AT5G66140	0.7301
AT1G25580	AT5G66150	0.2659
AT1G25580	AT5G66200	0.47
AT1G25580	AT5G66270	0.7173
AT1G25580	AT5G66420	0.3037
AT1G25580	AT5G66430	0.3031
AT1G25580	AT5G66640	0.3246
AT1G25580	AT5G66680	0.5567
AT1G25580	AT5G66730	0.7935
AT1G25580	AT5G66770	0.2711
AT1G25580	AT5G66880	0.0809
AT1G25580	AT5G67000	0.0675
AT1G25580	AT5G67030	0.3508
AT1G25580	AT5G67210	0.0995
AT1G25580	AT5G67350	0.2618
AT1G25580	AT5G67360	0.68
AT1G25580	ATMG00170	0.9459
AT1G25580	ATMG00200	0.9273
AT1G25580	ATMG00210	0.9651
AT1G25580	ATMG00230	0.929
AT1G25580	ATMG00240	0.9378
AT1G25580	ATMG00270	0.9791
AT1G25580	ATMG00280	0.9796
AT1G25580	ATMG00285	0.9552
AT1G25580	ATMG00330	0.8482
AT1G25580	ATMG00350	0.8999
AT1G25580	ATMG00360	0.8994
AT1G25580	ATMG00370	0.53
AT1G25580	ATMG00380	0.5294
AT1G25580	ATMG00400	0.9372
AT1G25580	ATMG00480	0.9197
AT1G25580	ATMG00490	0.9191
AT1G25580	ATMG00513	0.9075
AT1G25580	ATMG00520	0.8034
AT1G25580	ATMG00550	0.9825
AT1G25580	ATMG00570	0.9465
AT1G25580	ATMG00800	0.922
AT1G25580	ATMG00810	0.9215
AT1G25580	ATMG00820	0.1425
AT1G25580	ATMG00860	0.9529
AT1G25580	ATMG00870	0.9732
AT1G25580	ATMG00880	0.9727
AT1G25580	ATMG00900	0.9151
AT1G25580	ATMG00910	0.9156
AT1G25580	ATMG00940	0.6806
AT1G25580	ATMG01030	0.9971
AT1G25580	ATMG01050	0.8842
AT1G25580	ATMG01090	0.9761
AT1G25580	ATMG01110	0.9255
AT1G25580	ATMG01190	0.9482
AT1G25580	ATMG01200	0.9476
AT1G25580	ATMG01210	0.8546
AT1G25580	ATMG01220	0.854
AT1G25580	ATMG01230	0.9063
AT1G25580	ATMG01260	0.8697
AT1G25580	ATMG01275	0.7842
AT1G25580	ATMG01330	0.9209
